country_name,country_identifier,observation_year,adaptive_capacity_index,foreign_direct_investment_net_inflows_pct_gdp,forest_area_pct_land_area,real_gdp_constant_2015_usd,renewable_energy_consumption_pct_final_energy_use,natural_capital_dependency_index,urban_population_pct_total_population,readiness_index,official_development_assistance_usd,ecological_footprint_index,co2_emissions_metric_tonnes_per_capita,total_greenhouse_gas_emissions_kt_co2e,average_temperature_celsius,annual_precipitation_mm,land_area_sq_km,surface_area_sq_km,total_population,greenhouse_gas_emissions_metric_tonnes_per_capita
Costa Rica,30,2015,0.400733278141342,5.236394870580308,57.83450842146494,56441917653.015594,38.326301574707,0.12005148,76.862,0.462038089145919,111300003.05175799,2.5235662027995,1.5553430882636574,14630,25.06,2811.38,51060,51100,4847805,3.0178606606495104
Costa Rica,30,2016,0.400364388736003,4.452962387454494,58.1551116333725,58814918320.653725,36.8058013916016,0.12005148,77.735,0.456275312157548,100720001.22070299,2.66812402390783,1.6492030756820923,15540,25.16,2691.01,51060,51100,4899336,3.1718583906064004
Costa Rica,30,2017,0.384777829329948,4.833275305949578,58.475714845280066,61260265569.68875,36.2042007446289,0.12005148,78.56,0.453847491479292,99260002.1362305,2.52434289001733,1.6525402756186673,15710,24.93,2848.56,51060,51100,4949955,3.1737662261576114
Costa Rica,30,2018,0.381055495621895,4.829438712973152,58.79612220916569,62862775554.896095,35.7047996520996,0.12005148,79.34,0.456153126503876,99360000.6103516,2.44624710569229,1.652184053303538,15810,24.54,3455.53,51060,51100,4999443,3.1623522860446656
Costa Rica,30,2019,0.381055495621895,4.243654591855597,59.11672542107325,64281157838.92244,35.736592386434566,0.12005148,80.076,0.45860651141845,59759998.3215332,2.4427956937862048,1.6650337908195547,16052.173913043478,24.9,3364.5,51060,51100,5047561,3.1801842341367403
Costa Rica,30,2020,0.3764620395408474,3.400338278706868,59.437328632980815,61668979511.365776,35.69669565826091,0.11818425575000001,80.771,0.4613773117427437,60329581.57857259,2.4118926539464938,1.6832038365431405,16306.616257088846,25.09,3341.05,51060,51100,5094114,3.2010701482316346
Croatia,31,1995,0.445335986368642,0.4756470924515,33.40189590413164,33557915391.581757,30.384527442502,0.058292776,52.279,0.392339497778626,53279998.779296905,2.5868063465441,3.3333116884522394,25460,10.97,1229.7,55910,56540,4620030,5.510786726493118
Croatia,31,1996,0.442306511413167,2.045793484078391,33.4226509467667,35563229390.11456,34.1265044303859,0.058292776,52.509,0.393461928040898,133309997.558594,2.53515037223255,3.3661780734533413,24800,10.25,1210.9,55980,56610,4557097,5.44206103139784
Croatia,31,1997,0.440503180420704,2.4760723030499405,33.48517327617006,37743975503.16037,29.211150683095,0.058292776,52.739,0.399246668822726,40360000.6103516,3.23585851546216,3.7597135120354936,26280,11.01,1020.62,55980,56610,4534920,5.79503056283242
Croatia,31,1998,0.434483484930035,3.892846981209469,33.58969772849222,38576544470.77208,28.1143994570977,0.0510026074,52.968,0.404391414566688,39380001.0681152,3.31812117977928,4.075341974588135,26580,11.29,1118.21,55910,56540,4532135,5.864785581188557
Croatia,31,1999,0.433463091169426,6.144034042130208,33.65229833661241,38238440780.244514,27.810841837998,0.0510026074,53.198,0.416954036765604,48470001.220703095,3.14403460053067,4.101850885421411,26260,11.31,1190.11,55910,56540,4512597,5.819265491689154
Croatia,31,2000,0.432632890327184,4.647803008281533,33.71489894473261,39345635026.65931,26.7880992889404,0.0510026074,53.428,0.431766875392376,65510002.1362305,3.16967853243602,4.03956581269574,25330,12.31,911.53,55910,56540,4468302,5.668820057373025
Croatia,31,2001,0.431204085629057,4.454645403189413,33.777499552852795,40538790726.388855,26.945499420166,0.0510026074,53.642,0.446192400495724,112129997.253418,3.42889481532762,4.465488056912646,26130,11.35,1059.63,55910,56540,4299642,6.077250152454553
Croatia,31,2002,0.428495101751625,3.6225322137355853,33.840100160972995,42858450411.79883,24.6315994262695,0.0437124388,53.81,0.455358210680034,130600006.103516,3.79073781095983,4.71389581174541,27130,12.01,1193.91,55910,56540,4302174,6.306114071629832
Croatia,31,2003,0.426388419654312,5.2776745337760484,33.90270076909319,45226785549.95511,24.8409004211426,0.0364222702,53.979,0.470648536416924,120400001.52587901,3.88225369236,5.021611986246221,28230,11.49,784.05,55910,56540,4303399,6.5599308825419165
Croatia,31,2004,0.423788099307271,3.132069713152663,33.9349535382416,47103397210.07165,26.5853004455566,0.0364222702,54.147,0.478063863596509,119660003.662109,4.06823963764606,4.904056126004739,28000,11,1180.96,55960,56590,4304600,6.504669423407518
Croatia,31,2005,0.422041662156938,3.96400030206868,33.997498213009294,49134684669.976006,26.8369998931885,0.0364222702,54.315,0.467402179155002,123459999.084473,4.20388050674509,4.9812709317203945,27890,10.54,1183.7,55960,56590,4310145,6.470779985360121
Croatia,31,2006,0.420332368238931,6.579944999412163,34.06004288777698,51561130579.32189,25.5172996520996,0.0364222702,54.483,0.450419864417584,196509994.506836,4.44302982442635,5.014892746938816,28620,11.38,943.14,55960,56590,4311159,6.638586050758044
Croatia,31,2007,0.417514498635126,7.673608297393499,34.12258756254467,54094231717.70439,22.6728992462158,0.0364222702,54.651,0.461528818517324,162910003.66210902,4.53194792090152,5.310637492265471,30120,12.18,1032.85,55960,56590,4310217,6.9880472375288765
Croatia,31,2008,0.414860338115393,7.4198899860551215,34.18513223731237,55119557345.0005,24.1562995910645,0.0364222702,54.819,0.46255976370768,241059997.55859402,4.68912718522809,5.044428795010331,29300,12.1,1041.59,55960,56590,4309705,6.798609185547503
Croatia,31,2009,0.405756978402245,4.865891552494605,34.24767691208005,51105916787.32544,27.1781005859375,0.0364222702,54.987,0.458508490588121,168830001.831055,4.08792809206938,4.719894471335817,26740,11.95,1118.35,55960,56590,4305181,6.211120972614159
Croatia,31,2010,0.402452782513559,2.5569290239290736,34.31022158684775,50466734849.77215,29.7745990753174,0.0291321016,55.155,0.472490153216716,131550003.051758,3.88606947837195,4.530399422455556,26180,11.06,1334.79,55960,56590,4295427,6.0948538992747405
Croatia,31,2011,0.386306588075888,1.9771746063534588,34.31736954967834,50423715213.78286,27.1821994781494,0.0291321016,55.322,0.470582427333637,136768003.33658874,4.00330824822068,4.447951722903821,25890,11.96,752.81,55960,56590,4280622,6.048186455146005
Croatia,31,2012,0.373149958506708,2.561706457844024,34.32451751250893,49276219375.41247,29.426399230957,0.0291321016,55.506,0.470080987080305,136998537.05512172,3.89193504554978,4.091332795008293,23950,12.14,981.5,55960,88073,4267558,5.612108845386518
Croatia,31,2013,0.378733858320417,1.6564636383892501,34.33166547533953,49097288862.41776,32.8404998779297,0.0291321016,55.706,0.47983474734692,143441106.15143973,3.82094824720629,4.004051987821479,22830,11.84,1234.44,55960,88073,4255689,5.364583737204481
Croatia,31,2014,0.381965791036634,5.4644264973932195,33.95652942215939,48927438241.11421,33.6200981140137,0.0291321016,55.923,0.488041255255054,150378513.1569947,3.54861162922503,3.8552383936443775,22100,12.5,1452.64,56590,88073,4238389,5.214245318209348
Croatia,31,2015,0.377990848050711,0.08899364373423371,33.96359780880014,50163192883.15147,33.1091003417969,0.021841933,56.155,0.492306739690548,157172413.95274746,3.71102286040587,3.9680236292476647,22690,12.36,1065.99,56590,88073,4203604,5.397749169522153
Croatia,31,2016,0.36191030572723,0.8221570337796554,34.001063792189434,51935173677.19357,31.8474006652832,0.021841933,56.403,0.495485662763637,163283241.40718192,3.86929561015721,4.058117804716376,22730,12,1185.81,56590,88073,4174349,5.445160431003733
Croatia,31,2017,0.361599605889995,0.8185802755082923,34.133387524297575,53708288421.74494,29.8036003112793,0.021841933,56.667,0.492792650698404,166693457.68409953,3.69822575279321,4.2380576118836295,23400,12,1012.62,56590,88073,4124531,5.673372317967789
Croatia,31,2018,0.361362974188363,2.11957998153972,34.177593214348825,55265833941.436455,32.8473014831543,0.021841933,56.947,0.492847003461289,169099687.78947175,3.88086457270814,4.055928762430455,22550,12.77,1068.09,56590,88070,4087843,5.5163566702537254
Croatia,31,2019,0.361362974188363,6.272031312994352,34.221770630853506,57190160216.54085,32.95437861535657,0.021841933,57.242,0.498552710310725,172346333.54037791,3.937127973845707,4.087346896081682,22423.478260869564,12.71,1236.29,56590,89440.86956521739,4065253,5.515887513241996
Croatia,31,2020,0.3578640986808514,2.0606375426770502,34.26594804735819,52557893779.4932,32.90341662339877,0.020323147875000003,57.553,0.5029782608328958,175858755.5322625,3.9980835217419313,4.118702062282914,22320.15122873346,12.36,1069.92,56590,90868.29867674859,4047680,5.514307264589458
Cyprus,32,1995,0.400224425441691,2.4477353979411998,18.004329004329005,12660962666.371397,3.3542984702649,0.03319978,68.038,0.456174203783928,5980000.01907349,4.9862416463789,6.780524929535148,6770,18.93,285.86,9240,9250,855391,7.914509271198785
Cyprus,32,1996,0.397711810043727,2.3347119248790618,18.117965367965365,12819045113.624485,3.35706908272827,0.0333310742,68.161,0.458736132639096,7300000.19073486,4.88506631432919,7.052686775983311,7150,19.22,458.16,9240,9250,873426,8.186154293552057
Cyprus,32,1997,0.404872683472495,5.724021703477153,18.231601731601728,13157582588.868069,3.29407078061674,0.0334623684,68.283,0.458997288471858,8079999.923706049,4.80383192228368,7.013094850705237,7230,18.4,407.36,9240,9250,891190,8.112748123295818
Cyprus,32,1998,0.403688136527824,3.3701924993610852,18.345238095238095,13961622296.408182,3.26216821210761,0.0334623684,68.405,0.458195661013956,21250000,5.11776247431567,7.208020160447227,7560,19.8,410.92,9240,9250,908710,8.319485864577258
Cyprus,32,1999,0.400892305685157,7.744916952570711,18.458874458874458,14659418653.118813,3.2266425227618,0.0334623684,68.527,0.462112164922446,31149999.6185303,4.92758939261545,7.3538225299093245,7840,19.9,272.37,9240,9250,926049,8.466074689352292
